id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type
5DtRoFFNian2XZlxRWorpF,Takdir-i İlahi,46,track,False,False,208396,1,1,1nFJWl30l3PAHei86OxN0i,Oğuzhan Koç,1nFJWl30l3PAHei86OxN0i,Oğuzhan Koç,7p2D84Mkwl5sdCunpWzWAL,Takdir-i İlahi,2018-07-13,1,album
14Bw31VNlw08fsNZgvNb6H,Mendilimde Kırmızım Var,50,track,False,False,362408,1,4,1dpqJqIuNqideTvmxBsSku,Mabel Matiz,1dpqJqIuNqideTvmxBsSku,Mabel Matiz,77lgNgqEBd2qBIzk7DcHA3,Maya,2018-06-20,23,album
6NVkIcPWer0d0FwAHomviC,Soktuğu Duruma Bak,45,track,False,False,242529,1,2,6dDaXbE1caD65TONToYXYx,Murat Dalkılıç,6dDaXbE1caD65TONToYXYx,Murat Dalkılıç,2soYwpvxmUqvFlSNv1Lczj,Epik,2016-07-01,12,album
1qCjcG3qbzUxdA0wt1Zvea,Yalan,53,track,False,False,176865,1,3,1AM52XHXnWAEqnQwpxTLWm,EDIS,1AM52XHXnWAEqnQwpxTLWm,EDIS,1ly64GuU1sWEhsv3mHrUa3,An,2018-03-07,12,album
0DkY1yjxsBvbGNZ0T06hMk,Bana Aşk Ver,41,track,False,False,188755,1,1,27TH57uXZezzxdlmbbyWQU,Aynur Aydın,27TH57uXZezzxdlmbbyWQU,Aynur Aydın,52HfG23s6g0sIeq7Y8yzr1,Bana Aşk Ver,2017-12-08,1,album
4K84p5DmcoUm3pp64qzkHY,Mecnun,52,track,False,False,200272,1,7,1qZ684TB9E1BjH58btdtYd,Buray,1qZ684TB9E1BjH58btdtYd,Buray,5X8RxGuAlwaNQg0g4FZw9K,Sahiden,2016-11-11,12,album
6O60W4ap0dIY2vyskEaxyd,Ses Kes,36,track,False,False,165504,1,2,7FvMAbdiffitFmbuJN3Vsk,Emrah Karaduman,7FvMAbdiffitFmbuJN3Vsk,Emrah Karaduman,1QWwjp3eDSg0OGlo4J0MY9,BombarDuman,2018-09-17,9,album
1TsUuL2SqH3BP0t7PKhkjr,Save Me (feat. Eneli) (feat. Eneli) - Mert Oksuz Remix,23,track,False,False,187146,1,2,3t8WiyalpvnB9AObcMufiE,Mahmut Orhan,3t8WiyalpvnB9AObcMufiE,Mahmut Orhan,3wMNwDE9YI1B4tgJkKndBG,Save Me (feat. Eneli) (feat. Eneli) [Remixes],2017-08-11,2,album
486QehJyuGOMsTZIhEuY38,Hele Bi Başla,43,track,False,False,233810,1,1,46zuW8tHxwahYn7VNMgYTa,Yalın,46zuW8tHxwahYn7VNMgYTa,Yalın,4RHe7o5Ob6Rl3MXrUOUkvm,Hele Bi Başla,2018-02-21,1,album
4DsPdStdXWO8BeYVHWMD16,Sayın Seyirciler,44,track,False,False,185409,1,3,6xLv41SHPrVVfvyGd1M7ut,Ozan Doğulu,6xLv41SHPrVVfvyGd1M7ut,Ozan Doğulu,3xrptpe9ozVtDGg3JS9ai4,130 Bpm Forte,2017-06-27,11,album
3H3XlX7hm1OYuiPhFC8WTx,Tatlım Tatlım (Orijinal Film Müziği),39,track,False,False,215691,1,1,6kf7koRM31Dgsj2WbByZpB,Ersay Üner,6kf7koRM31Dgsj2WbByZpB,Ersay Üner,2O89qUpzTx455pSlZTB28D,Tatlım Tatlım (Orijinal Film Müziği),2017-03-17,1,album
5jYntKRDo21t5sEQHx8OM2,Move On,58,track,False,False,247422,1,1,0ZRQKFaYGEtbLc8NbyICoe,Deeperise,0ZRQKFaYGEtbLc8NbyICoe,Deeperise,4GngckWbcK6cWopdBoWLdg,Move On,2017-06-02,1,album
50lOosClpTP4tRXTAK7Ofr,Dipsiz Kuyum,46,track,False,False,152000,1,1,7FvMAbdiffitFmbuJN3Vsk,Emrah Karaduman,7FvMAbdiffitFmbuJN3Vsk,Emrah Karaduman,1QWwjp3eDSg0OGlo4J0MY9,BombarDuman,2018-09-17,9,album
1dQY00PD3yreKmsSs66ShY,Kurtlar Sofrası,52,track,False,False,225187,1,5,0J7kxhnyiFpd0NArVYvexR,Ali Kınık,0J7kxhnyiFpd0NArVYvexR,Ali Kınık,4h17KmEo0gM6I3B89cG85F,Duvar Yazısı,2006-04-12,15,album
